"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","09-Dec-2020","       1993.75","       2009.95","       2033.80","       1999.25","       2026.00","       2026.95","       2019.89","   13464375","         27196561520.30","     303801","    4861192","         36.10"
"RELIANCE","EQ","10-Dec-2020","       2026.95","       2021.60","       2028.50","       2001.00","       2008.00","       2007.00","       2010.18","    7414229","         14903949695.80","     212910","    2670339","         36.02"
"RELIANCE","EQ","11-Dec-2020","       2007.00","       2013.00","       2038.00","       1974.25","       1999.40","       2005.80","       2015.50","   12434745","         25062187257.95","     265002","    3553151","         28.57"
"RELIANCE","EQ","14-Dec-2020","       2005.80","       2007.95","       2015.00","       1986.35","       1993.50","       1991.30","       1997.46","    7989830","         15959361790.30","     248928","    2832392","         35.45"
"RELIANCE","EQ","15-Dec-2020","       1991.30","       1989.70","       1989.70","       1961.10","       1973.60","       1974.35","       1973.54","    8561406","         16896273508.60","     240918","    3108604","         36.31"
"RELIANCE","EQ","16-Dec-2020","       1974.35","       1988.00","       1994.95","       1965.70","       1977.55","       1976.55","       1977.57","    8565904","         16939660870.95","     233001","    3281219","         38.31"
"RELIANCE","EQ","17-Dec-2020","       1976.55","       1984.50","       2005.00","       1977.15","       1985.50","       1985.60","       1989.37","    9346460","         18593553236.80","     280068","    3368996","         36.05"
"RELIANCE","EQ","18-Dec-2020","       1985.60","       1980.10","       2004.90","       1965.00","       1998.10","       1991.55","       1981.58","    8522215","         16887433569.45","     226069","    3412555","         40.04"
"RELIANCE","EQ","21-Dec-2020","       1991.55","       2010.00","       2022.00","       1855.25","       1935.00","       1939.70","       1976.82","   20368545","         40264899448.00","     514099","    5751990","         28.24"
"RELIANCE","EQ","22-Dec-2020","       1939.70","       1949.00","       1958.90","       1888.45","       1935.00","       1936.70","       1921.80","   12986606","         24957654770.30","     374827","    3386829","         26.08"
"RELIANCE","EQ","23-Dec-2020","       1936.70","       1930.00","       1951.45","       1920.65","       1947.00","       1943.85","       1938.16","    8999898","         17443231403.30","     282444","    3128219","         34.76"
"RELIANCE","EQ","24-Dec-2020","       1943.85","       1947.00","       1998.80","       1945.90","       1992.95","       1994.15","       1976.20","    9588577","         18948962895.70","     250116","    2141157","         22.33"
"RELIANCE","EQ","28-Dec-2020","       1994.15","       2006.70","       2018.00","       1995.30","       2002.00","       2003.30","       2006.71","    7947719","         15948771620.10","     214898","    1821777","         22.92"
"RELIANCE","EQ","29-Dec-2020","       2003.30","       2009.00","       2012.30","       1982.55","       1987.00","       1990.05","       1992.97","    8589407","         17118416326.30","     242433","    3009732","         35.04"
"RELIANCE","EQ","30-Dec-2020","       1990.05","       1995.25","       2007.20","       1975.55","       1994.35","       1995.50","       1991.60","   10173132","         20260786998.35","     234486","    3159950","         31.06"
"RELIANCE","EQ","31-Dec-2020","       1995.50","       1993.50","       2011.90","       1978.60","       1981.80","       1985.30","       1995.67","    8667516","         17297504921.30","     226094","    2538214","         29.28"
"RELIANCE","EQ","01-Jan-2021","       1985.30","       1988.00","       1997.00","       1982.00","       1988.00","       1987.50","       1989.50","    4622002","          9195480292.00","     139680","    1013314","         21.92"
"RELIANCE","EQ","04-Jan-2021","       1987.50","       1995.10","       1998.90","       1968.00","       1990.25","       1990.85","       1982.61","   11312992","         22429227856.70","     316871","    3869604","         34.20"
"RELIANCE","EQ","05-Jan-2021","       1990.85","       1969.00","       1983.60","       1956.00","       1965.00","       1966.10","       1968.87","   11132803","         21919019062.85","     300233","    5208047","         46.78"
"RELIANCE","EQ","06-Jan-2021","       1966.10","       1965.90","       1966.00","       1905.15","       1915.50","       1914.25","       1928.17","   21414270","         41290368153.15","     659284","    9038101","         42.21"
"RELIANCE","EQ","07-Jan-2021","       1914.25","       1920.50","       1945.00","       1905.15","       1912.80","       1911.15","       1919.86","   14918406","         28641263321.10","     454695","    6452659","         43.25"
"RELIANCE","EQ","08-Jan-2021","       1911.15","       1918.00","       1938.40","       1912.10","       1934.00","       1933.70","       1923.06","   12709792","         24441751752.65","     270966","    5303550","         41.73"
"RELIANCE","EQ","11-Jan-2021","       1933.70","       1938.80","       1938.80","       1892.50","       1899.00","       1897.25","       1910.26","   15371556","         29363709013.00","     479137","    7697815","         50.08"
"RELIANCE","EQ","12-Jan-2021","       1897.25","       1903.00","       1960.00","       1899.90","       1955.50","       1957.05","       1935.51","   18996047","         36766988575.55","     417387","    8987850","         47.31"
"RELIANCE","EQ","13-Jan-2021","       1957.05","       1963.55","       1974.95","       1918.45","       1936.00","       1938.80","       1948.25","   12284876","         23934034447.75","     304901","    4368602","         35.56"
"RELIANCE","EQ","14-Jan-2021","       1938.80","       1945.00","       1966.90","       1939.05","       1958.10","       1960.60","       1957.17","    9946818","         19467651412.35","     287671","    5225648","         52.54"
"RELIANCE","EQ","15-Jan-2021","       1960.60","       1960.60","       1973.80","       1920.05","       1937.90","       1937.45","       1952.72","    9503790","         18558204988.20","     264152","    3947767","         41.54"
"RELIANCE","EQ","18-Jan-2021","       1937.45","       1949.10","       1997.00","       1923.35","       1972.80","       1983.95","       1967.71","   16198856","         31874686564.55","     399642","    6014603","         37.13"
"RELIANCE","EQ","19-Jan-2021","       1983.95","       1994.65","       2031.00","       1994.65","       2015.00","       2016.40","       2018.21","   14771048","         29811112716.20","     411707","    6055057","         40.99"
"RELIANCE","EQ","20-Jan-2021","       2016.40","       2021.40","       2058.00","       2001.40","       2053.00","       2054.70","       2036.58","   14271669","         29065337315.85","     456106","    6676332","         46.78"
"RELIANCE","EQ","21-Jan-2021","       2054.70","       2082.00","       2120.00","       2075.00","       2107.00","       2099.40","       2102.61","   18038987","         37928961934.60","     483168","    6386636","         35.40"
"RELIANCE","EQ","22-Jan-2021","       2099.40","       2111.00","       2115.35","       2035.15","       2047.95","       2049.60","       2070.96","   14090818","         29181582565.45","     388593","    3512524","         24.93"
"RELIANCE","EQ","25-Jan-2021","       2049.60","       2034.95","       2034.95","       1932.00","       1935.15","       1941.00","       1966.36","   25016570","         49191602456.10","     723194","    9041658","         36.14"
"RELIANCE","EQ","27-Jan-2021","       1941.00","       1925.00","       1925.00","       1888.00","       1890.00","       1895.00","       1904.59","   19553809","         37241980448.40","     637355","    9587173","         49.03"
"RELIANCE","EQ","28-Jan-2021","       1895.00","       1880.15","       1923.30","       1870.00","       1876.35","       1876.55","       1895.32","   15722291","         29798806093.70","     446576","    4697008","         29.87"
"RELIANCE","EQ","29-Jan-2021","       1876.55","       1894.30","       1913.10","       1830.00","       1844.95","       1841.95","       1871.72","   20173258","         37758612331.50","     472678","    9106845","         45.14"
"RELIANCE","EQ","01-Feb-2021","       1841.95","       1859.40","       1905.00","       1848.00","       1898.15","       1895.30","       1874.03","   15774504","         29561820671.20","     370120","    7864911","         49.86"
"RELIANCE","EQ","02-Feb-2021","       1895.30","       1914.25","       1940.00","       1854.95","       1936.00","       1925.80","       1889.81","   19138414","         36168052850.90","     561567","    7369471","         38.51"
"RELIANCE","EQ","03-Feb-2021","       1925.80","       1928.30","       1952.00","       1900.00","       1928.50","       1930.65","       1931.87","   13984228","         27015673442.65","     345625","    4832689","         34.56"
"RELIANCE","EQ","04-Feb-2021","       1930.65","       1924.00","       1940.00","       1905.00","       1921.50","       1924.30","       1923.71","   11826848","         22751381754.25","     332784","    5411559","         45.76"
"RELIANCE","EQ","05-Feb-2021","       1924.30","       1930.05","       1944.65","       1920.00","       1924.30","       1923.75","       1929.36","    9344470","         18028883267.50","     263144","    3564531","         38.15"
"RELIANCE","EQ","08-Feb-2021","       1923.75","       1933.05","       1969.00","       1929.05","       1951.40","       1951.45","       1954.84","    9776136","         19110816694.80","     287247","    3553415","         36.35"
"RELIANCE","EQ","09-Feb-2021","       1951.45","       1961.95","       1989.60","       1952.30","       1954.50","       1956.15","       1974.29","    9047308","         17861994119.30","     254384","    3417112","         37.77"
